iter	Passed	Remaining
0	150	150268
1	157	78766
2	164	54664
3	172	43029
4	179	35627
5	187	31097
6	193	27484
7	202	25094
8	208	23005
9	216	21445
10	223	20133
11	232	19127
12	239	18158
13	245	17262
14	253	16615
15	259	15941
16	268	15518
17	274	14976
18	282	14572
19	288	14157
20	297	13883
21	304	13534
22	313	13299
23	319	12990
24	326	12752
25	334	12531
26	340	12263
27	348	12107
28	354	11883
29	364	11786
30	370	11580
31	379	11492
32	385	11308
33	396	11255
34	402	11107
35	410	10984
36	417	10862
37	425	10779
38	432	10660
39	438	10528
40	446	10438
41	452	10321
42	461	10265
43	468	10173
44	476	10110
45	482	10010
46	490	9949
47	497	9871
48	505	9814
49	512	9733
50	518	9646
51	527	9619
52	533	9528
53	541	9487
54	547	9408
55	556	9378
56	562	9307
57	571	9277
58	577	9216
59	586	9182
60	593	9134
61	600	9082
62	607	9042
63	613	8977
64	623	8963
65	629	8902
66	638	8884
67	643	8826
68	652	8809
69	659	8760
70	667	8732
71	674	8697
72	681	8656
73	688	8619
74	694	8566
75	703	8558
76	709	8509
77	718	8496
78	725	8453
79	733	8431
80	740	8397
81	748	8376
82	755	8344
83	761	8303
84	770	8294
85	777	8258
86	787	8259
87	793	8218
88	801	8205
89	807	8169
90	817	8166
91	823	8128
92	833	8125
93	839	8093
94	849	8088
95	856	8067
96	865	8055
97	873	8039
98	883	8043
99	891	8025
100	902	8032
101	911	8028
102	934	8139
103	941	8112
104	951	8110
105	961	8108
106	969	8090
107	980	8095
108	987	8075
109	998	8079
110	1006	8063
111	1017	8067
112	1026	8058
113	1033	8035
114	1045	8044
115	1053	8028
116	1064	8033
117	1075	8040
118	1083	8024
119	1091	8007
120	1099	7990
121	1108	7977
122	1116	7957
123	1126	7960
124	1135	7947
125	1145	7944
126	1152	7922
127	1161	7915
128	1168	7886
129	1179	7890
130	1185	7862
131	1194	7852
132	1199	7822
133	1208	7808
134	1214	7782
135	1223	7771
136	1230	7753
137	1241	7754
138	1248	7733
139	1258	7730
140	1265	7708
141	1274	7699
142	1280	7676
143	1289	7666
144	1295	7640
145	1303	7626
146	1311	7608
147	1317	7581
148	1325	7571
149	1331	7546
150	1340	7534
151	1346	7509
152	1354	7500
153	1361	7481
154	1371	7474
155	1377	7450
156	1384	7432
157	1391	7416
158	1397	7391
159	1406	7384
160	1412	7362
161	1421	7352
162	1427	7328
163	1436	7323
164	1442	7302
165	1450	7286
166	1457	7270
167	1463	7247
168	1470	7232
169	1476	7209
170	1485	7201
171	1491	7179
172	1499	7168
173	1506	7150
174	1514	7140
175	1521	7123
176	1527	7103
177	1537	7098
178	1543	7077
179	1552	7071
180	1558	7052
181	1569	7054
182	1575	7032
183	1583	7024
184	1590	7004
185	1598	6994
186	1604	6975
187	1613	6967
188	1619	6949
189	1625	6931
190	1634	6923
191	1640	6905
192	1650	6902
193	1656	6883
194	1667	6883
195	1673	6865
196	1682	6859
197	1689	6843
198	1700	6843
199	1706	6827
200	1716	6825
201	1723	6808
202	1734	6808
203	1745	6809
204	1753	6800
205	1764	6801
206	1773	6792
207	1782	6788
208	1790	6776
209	1798	6767
210	1805	6750
211	1814	6744
212	1821	6729
213	1831	6728
214	1837	6710
215	1847	6704
216	1853	6687
217	1864	6686
218	1871	6672
219	1879	6663
220	1885	6647
221	1896	6647
222	1904	6637
223	1913	6629
224	1922	6623
225	1930	6610
226	1939	6604
227	1946	6589
228	1955	6583
229	1962	6570
230	1970	6558
231	1978	6548
232	1984	6531
233	1992	6523
234	1999	6507
235	2008	6502
236	2015	6487
237	2024	6481
238	2030	6465
239	2037	6452
240	2044	6439
241	2053	6431
242	2060	6417
243	2065	6400
244	2074	6391
245	2079	6375
246	2088	6368
247	2095	6353
248	2102	6342
249	2109	6329
250	2118	6322
251	2125	6307
252	2131	6292
253	2138	6281
254	2144	6266
255	2154	6261
256	2160	6245
257	2168	6235
258	2174	6222
259	2183	6213
260	2189	6200
261	2196	6185
262	2204	6177
263	2210	6161
264	2219	6155
265	2225	6141
266	2233	6131
267	2240	6119
268	2248	6110
269	2255	6097
270	2261	6083
271	2269	6074
272	2275	6059
273	2284	6052
274	2290	6039
275	2298	6030
276	2306	6020
277	2314	6011
278	2321	5999
279	2329	5989
280	2337	5981
281	2349	5983
282	2362	5984
283	2372	5981
284	2386	5986
285	2399	5989
286	2411	5991
287	2422	5988
288	2433	5986
289	2446	5989
290	2455	5983
291	2467	5982
292	2481	5987
293	2490	5981
294	2502	5979
295	2513	5978
296	2526	5980
297	2539	5983
298	2551	5982
299	2564	5982
300	2577	5986
301	2587	5979
302	2597	5974
303	2604	5962
304	2610	5947
305	2618	5939
306	2625	5925
307	2634	5918
308	2640	5905
309	2648	5895
310	2655	5883
311	2664	5875
312	2671	5864
313	2680	5856
314	2687	5844
315	2696	5837
316	2703	5825
317	2710	5813
318	2717	5802
319	2724	5789
320	2733	5781
321	2739	5768
322	2747	5758
323	2753	5745
324	2763	5739
325	2770	5727
326	2776	5715
327	2784	5704
328	2790	5691
329	2799	5684
330	2805	5670
331	2814	5663
332	2820	5649
333	2830	5643
334	2836	5630
335	2844	5621
336	2851	5609
337	2858	5598
338	2866	5588
339	2873	5577
340	2881	5569
341	2888	5557
342	2894	5544
343	2902	5534
344	2908	5522
345	2918	5516
346	2925	5504
347	2934	5497
348	2941	5486
349	2950	5478
350	2956	5466
351	2965	5459
352	2971	5446
353	2980	5439
354	2987	5428
355	2995	5418
356	3002	5408
357	3009	5397
358	3017	5387
359	3023	5375
360	3032	5367
361	3038	5354
362	3047	5347
363	3053	5335
364	3061	5326
365	3068	5315
366	3077	5307
367	3084	5296
368	3090	5285
369	3097	5274
370	3103	5262
371	3113	5255
372	3119	5243
373	3127	5234
374	3133	5223
375	3142	5215
376	3149	5204
377	3158	5196
378	3164	5185
379	3170	5173
380	3179	5165
381	3185	5154
382	3194	5146
383	3200	5134
384	3209	5127
385	3216	5115
386	3224	5106
387	3231	5096
388	3239	5088
